time,BinaryProtocol:bytesReadPerSecond,BinaryProtocol:bytesWrittenPerSecond,BinaryProtocol:messagesReadPerSecond,BinaryProtocol:messagesWrittenPerSecond,BinaryProtocol:nAckMessages,BinaryProtocol:nBytesRead,BinaryProtocol:nBytesWritten,BinaryProtocol:nEntriesOldVersion,BinaryProtocol:nGroupAckMessages,BinaryProtocol:nGroupedAcks,BinaryProtocol:nMaxGroupedAcks,BinaryProtocol:nMessageBatches,BinaryProtocol:nMessagesBatched,BinaryProtocol:nMessagesRead,BinaryProtocol:nMessagesWritten,BinaryProtocol:nReadNanos,BinaryProtocol:nWriteNanos,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:fileDeletionBacklog,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,ConsistencyTracker:nLagConsistencyWaitMS,ConsistencyTracker:nLagConsistencyWaits,ConsistencyTracker:nVLSNConsistencyWaitMS,ConsistencyTracker:nVLSNConsistencyWaits,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,FeederManager:nFeedersCreated,FeederManager:nFeedersShutdown,FeederManager:nMaxReplicaLag,FeederManager:nMaxReplicaLagName,FeederManager:replicaDelayMap,FeederManager:replicaLastCommitTimestampMap,FeederManager:replicaLastCommitVLSNMap,FeederManager:replicaVLSNLagMap,FeederManager:replicaVLSNRateMap,FeederTxns:ackWaitMS,FeederTxns:lastCommitTimestamp,FeederTxns:lastCommitVLSN,FeederTxns:totalTxnMS,FeederTxns:txnsAcked,FeederTxns:txnsNotAcked,FeederTxns:vlsnRate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,Replay:latestCommitLagMs,Replay:maxCommitProcessingNanos,Replay:minCommitProcessingNanos,Replay:nAborts,Replay:nCommitAcks,Replay:nCommitNoSyncs,Replay:nCommitSyncs,Replay:nCommitWriteNoSyncs,Replay:nCommits,Replay:nElapsedTxnTime,Replay:nGroupCommitMaxExceeded,Replay:nGroupCommitTimeouts,Replay:nGroupCommitTxns,Replay:nGroupCommits,Replay:nLNs,Replay:nMessageQueueOverflows,Replay:nNameLNs,Replay:totalCommitLagMs,Replay:totalCommitProcessingNanos,VLSNIndex:nBucketsCreated,VLSNIndex:nHeadBucketsDeleted,VLSNIndex:nHits,VLSNIndex:nMisses,VLSNIndex:nTailBucketsDeleted
2022-04-06 02:43:14.873 UTC, , , , , , , , , , , , , , , , , , ,125,3159717,952,13864, , ,3, ,6, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1203,1,566,566,1, ,2,4, ,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1649212994403, , , , , , , , , , , , , , , , , , , , ,3145728, , , , ,4,1,4,1,2,1, , ,3,2, , , , , , , ,38,1, , ,2048,1,1213,1, , , , ,1,17,5,17,26570384,-1, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-04-06 02:43:15.086 UTC, , , , , , , , , , , , , , , , , , ,589,3164485,1184,18168, , ,4, ,16, , , , , , , , , ,4,4, , , , ,1,7, ,8, , , , , , , , , , , , , , ,1203,1,566,566, , , , , ,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1649212994403, , , , , , , , , , , , , , , , , , , , ,3145728, , , , ,3,4,10,4,2,4, , ,3,4, , , , , , , , , , , ,4096,2,827,4, , , , , , , , ,41326352,-1, , , , , , ,11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-04-06 02:43:20.193 UTC, , , , , , , , , , , , , , , , , , ,125,3167757,1288,21904, , ,5, ,44,4,0.09, , , , , , , ,5,5, ,7, ,1,2,8, ,37,9, , , , , , , , , , , , , ,3451,2,2342,2342,1,1,4,9, ,-1,-1, , , , , ,1,29, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1649213000091, , , , , , , , , , , , , , , , , , , , ,3145728, , , ,17,5,2,8,2,4,2, , ,3,3, , , ,17, ,2048,1, , , , ,104852,30,1421,2, , , , ,1,17,5,17,50135344,-1, , , , , , ,39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-04-06 02:44:20.204 UTC,0,0,0,0, , , , , , , , , , , , , , ,589,3182949,1880,36408,224, ,7, ,132, , , , , , , , , ,7,7, , , ,1,2,9, ,189,3, , , , , , , , , , , , , ,3451,2,2342,2342, , , , , ,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1649213000091, , , , , , ,0, , , , , , , ,1649213059385,65, , , ,48,3145728, , , ,5,7,22,85,22,3,32, , ,3,25, , , ,5,1, , , , , , ,9514,8,5948,33, , , , ,1,28,2,14,44461448,-1, , , , , , ,36, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,20, , , , , , , , , , , , ,0,0, , , , , , , , , , , , , , , , ,1, , , , 
2022-04-06 02:45:46.427 UTC,0,0,0,0, , , , , , , , , , , , , , ,589,3187301,1880,40760,224, ,7, ,85, , , , , , , , , ,7,7, , , ,1,2,9, ,124, , , , , , , , , , , , , , ,3451,2,2342,2342, , , , , ,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1649213000091, , , , , , ,0, , , , , , , ,1649213118910,100, , , ,14,3145728, , ,200, ,16,14,84,14, ,21, , ,3,16, , , , ,1, , , , , , , , ,4183,21, , , ,1, , , , ,102546328,-1, , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14, , , , , , , , , , , , ,0,0, , , , , , , , , , , , , , , , , , , , , 
2022-04-06 02:46:46.429 UTC,0,0,0,0, , , , , , , , , , , , , , ,589,3191781,1880,45240,224, ,7, ,109, , , , , , , , , ,7,7, , , ,1,2,9, ,162, , , , , , , , , , , , , , ,3451,2,2342,2342, , , , , ,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1649213000091, , , , , , ,0, , , , , , , ,1649213202620,147, , , ,54,3145728, , , , ,1063,18,1233,18, ,29, , ,3,21, , , , ,1, , , , , , , , ,5517,29, , , , , , , , ,107049528,-1, , , , , , ,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18, , , , , , , , , , , , ,0,0, , , , , , , , , , , , , , , , , , , , , 
2022-04-06 02:47:46.445 UTC,0,0,0,0, , , , , , , , , , , , , , ,589,3196261,1880,49720,224, ,7, ,112, , , , , , , , , ,7,7, , , ,1,2,9, ,168, , , , , , , , , , , , , , ,3451,2,2342,2342, , , , , ,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1649213000091, , , , , , ,0, , , , , , , ,1649213262807,195, , , ,54,3145728, , , , ,17,18,242,18, ,30, , ,3,21, , , , ,1, , , , , , , , ,5575,30, , , , , , , , ,110652256,-1, , , , , , ,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18, , , , , , , , , , , , ,0,0, , , , , , , , , , , , , , , , , , , , , 
2022-04-06 02:48:46.455 UTC,0,0,0,0, , , , , , , , , , , , , , ,589,3201765,1880,55224,224, ,7, ,110, , , , , , , , , ,7,7, , , ,1,2,9, ,162, , , , , , , , , , , , , , ,3451,2,2342,2342, , , , , ,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1649213000091, , , , , , ,0, , , , , , , ,1649213322974,243, , , ,54,3145728, , , , ,17,18,197,18, ,30, , ,3,21, , , , ,1, , , , , , , , ,5610,30, , , , , , , , ,115155472,-1, , , , , , ,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18, , , , , , , , , , , , ,0,0, , , , , , , , , , , , , , , , , , , , , 
2022-04-06 02:49:46.551 UTC,0,0,0,0, , , , , , , , , , , , , , ,589,3206245,1880,59704,224, ,7, ,110, , , , , , , , , ,7,7, , , ,1,2,9, ,162, , , , , , , , , , , , , , ,3451,2,2342,2342, , , , , ,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1649213000091, , , , , , ,0, , , , , , , ,1649213383148,291, , , ,52,3145728, , , , ,54,18,297,18, ,30, , ,3,22, , , , ,1, , , , , , , , ,5610,30, , , , , , , , ,118157848,-1, , , , , , ,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18, , , , , , , , , , , , ,0,0, , , , , , , , , , , , , , , , , , , , , 
2022-04-06 02:50:46.629 UTC,0,0,0,0, , , , , , , , , , , , , , ,589,3211749,1880,65208,224, ,7, ,110, , , , , , , , , ,7,7, , , ,1,2,9, ,162, , , , , , , , , , , , , , ,3451,2,2342,2342, , , , , ,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1649213000091, , , , , , ,0, , , , , , , ,1649213443370,339, , , ,51,3145728, , , , ,34,18,259,18, ,30, , ,3,21, , , , ,1, , , , , , , , ,5610,30, , , , , , , , ,122360832,-1, , , , , , ,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18, , , , , , , , , , , , ,0,0, , , , , , , , , , , , , , , , , , , , , 
2022-04-06 02:51:46.640 UTC,0,0,0,0, , , , , , , , , , , , , , ,589,3217261,1880,70720,224, ,8, ,111, , , , , , , , , ,8,7, , , ,3,2,9, ,162, , , , , , , , , , , , , , ,3451,2,2342,2342, , , , , ,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1649213000091, , , , , , ,0, , , , , , , ,1649213503623,387, , , ,51,3145728, , , , ,30,18,292,18, ,30, , ,3,21, , , , ,1, , , , , , , , ,7820,30, , , , , , , , ,126864064,-1, , , , , , ,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18, , , , , , , , , , , , ,0,0, , , , , , , , , , , , , , , , , , , , , 
2022-04-06 08:41:42.526 UTC, , , , , , , , , , , , , , , , , , ,125,3180453,1752,34600, , ,8,1,361,8,0.02, , , , , , , ,8,7, ,150,1,4,5,9, ,209,13, , , , , , , , , , , , , ,52562,3,50648,50648,1,1,6,13, ,74,74, , , , , ,7,206, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1649234502240, , , , , , , , , , , , , , , , , , , , ,3145728, , , ,29,3,2,6,2,4,2, , ,3,3, , , ,29, ,2048,1, , , , ,547487,94,2299,2, , , , ,1,18,5,16,29525968,-1, , , , , , ,211, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-04-06 08:42:42.540 UTC,0,0,0,0, , , , , , , , , , , , , , ,589,3182333,1752,35792,224, ,7, ,437, , , , , , , , , ,7,7, , , ,2,2,9, ,520,149, , , , , , , , , , , , , ,52562,3,50648,50648, , , , , ,74,74, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1649234502240, , , , , , ,0, , , , , , , ,1649234560976,439, , , ,45,3145728, , , ,151,16,17,159,17,3,25, , ,3,20, , , ,151,1, , , , , , ,45214,154,4762,26, , , , ,1,17,2,7,67896536,-1, , , , , , ,331, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15, , ,288, , , , , , , , , ,0,0, , , , , , , , , , , , , , , , ,1, , , , 
2022-04-06 08:42:47.358 UTC, , , , , , , , , , , , , , , , , , ,589,3182109,1752,35792, , ,7, ,8, , , , , , , , , ,7,7, , , ,2,2,9, ,12, , , , , , , , , , , , , , ,52562,3,50648,50648, , , , , ,74,74, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1649234502240, , , , , , , , , , , , , , , , , , , , ,3145728, , , , ,15,1,28,1, ,2, , ,3,2, , , , ,1, , , , , , , , ,368,2, , , , , , , , ,74269104,-1, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-04-06 08:43:26.726 UTC, , , , , , , , , , , , , , , , , , ,125,3166965,1752,21112, , ,4, ,48,4,0.08, , , , , , , ,4,4, ,4, ,2,1,6, ,43,15, , , , , , , , , , , , , ,59594,4, ,57803, , , , , ,-1,-1, , , , , ,8,274, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1649234606484, , , , , , , , , , , , , , , , , , , , ,3145728, , , ,25,0, , , ,2, , , ,3, , , , ,25, ,2048,1, , , , ,220096,50, , , , , , ,1,16,5,15,45340368,-1, , , , , , ,33, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
